condition,err_sh,err_sym,err_eff,err_mrg,err_null,err_add,rating
shapley,0.5,0.0,0.33333333333333365,0.16666666666666624,0.0,0.16666666666666624,3
shapley,0.5000000000000003,0.0,0.3333333333333333,0.16666666666666727,0.0,0.16666666666666727,3
shapley,0.5,0.0,0.3333333333333327,0.16666666666666666,0.0,0.16666666666666666,3
shapley,0.5000000000000003,0.0,0.3333333333333333,0.16666666666666727,0.0,0.16666666666666727,3
shapley,0.0,0.0,0.0,0.0,0.0,0.0,3
shapley,0.5,0.0,0.3333333333333342,0.1666666666666668,0.0,0.1666666666666668,2
shapley,0.0,0.0,0.0,0.0,0.0,0.0,3
shapley,0.5,0.0,0.33333333333333365,0.16666666666666713,0.0,0.16666666666666713,3
shapley,0.5,0.0,0.3333333333333333,0.16666666666666635,0.0,0.16666666666666635,3
shapley,0.5000000000000003,0.0,0.3333333333333333,0.16666666666666727,0.0,0.16666666666666727,3
shapley,0.5,0.0,0.3333333333333342,0.1666666666666668,0.0,0.1666666666666668,3
shapley,1.5000000000000004,0.0,1.3333333333333326,0.16666666666666669,0.0,0.16666666666666669,3
shapley,1.4999999999999996,0.0,1.3333333333333335,0.1666666666666655,0.0,0.1666666666666655,3
shapley,1.5000000000000022,0.0,1.3333333333333317,0.16666666666666727,0.0,0.16666666666666727,3
shapley,0.5,0.0,0.3333333333333327,0.16666666666666666,0.0,0.16666666666666666,2
shapley,0.5000000000000003,0.0,0.3333333333333333,0.16666666666666727,0.0,0.16666666666666727,3
shapley,1.3333333333333344,0.0,1.333333333333334,4.930380657631324e-32,0.0,4.930380657631324e-32,3
shapley,0.3333333333333342,0.0,0.3333333333333342,0.0,0.0,0.0,2
shapley,1.333333333333333,0.0,1.3333333333333326,4.930380657631324e-32,0.0,4.930380657631324e-32,3
shapley,0.5,0.0,0.33333333333333365,0.16666666666666713,0.0,0.16666666666666713,3
shapley,0.0,0.0,0.0,0.0,0.0,0.0,3
shapley,0.0,0.0,0.0,0.0,0.0,0.0,3
shapley,0.5,0.0,0.3333333333333327,0.16666666666666666,0.0,0.16666666666666666,3
shapley,0.5000000000000003,0.0,0.3333333333333333,0.16666666666666727,0.0,0.16666666666666727,3
shapley,0.5000000000000003,0.0,0.3333333333333333,0.16666666666666727,0.0,0.16666666666666727,3
shapley,0.5,0.0,0.33333333333333365,0.16666666666666713,0.0,0.16666666666666713,3
shapley,0.3333333333333342,0.0,0.3333333333333342,0.0,0.0,0.0,3
shapley,1.5000000000000022,0.0,1.3333333333333317,0.16666666666666727,0.0,0.16666666666666727,3
unfair,131.0,18.0,0.3333333333333339,112.6666666666667,0.0,112.6666666666667,1
unfair,54.16666666666666,0.0,0.0,54.16666666666666,0.0,54.16666666666666,1
unfair,134.33333333333334,0.0,0.3333333333333333,134.0,0.0,134.0,1
unfair,79.16666666666666,0.0,0.0,79.16666666666666,0.0,79.16666666666666,1
unfair,48.499999999999986,0.0,0.3333333333333333,48.16666666666667,0.0,48.16666666666667,1
unfair,66.83333333333334,0.0,0.3333333333333333,66.50000000000003,0.0,66.50000000000003,2
unfair,125.49999999999997,0.0,0.3333333333333333,125.16666666666669,0.0,125.16666666666669,1
unfair,98.49999999999999,0.0,0.3333333333333333,98.16666666666666,0.0,98.16666666666666,1
unfair,66.83333333333334,0.0,0.3333333333333333,66.50000000000003,0.0,66.50000000000003,1
unfair,43.0,42.666666666666664,0.33333333333333454,0.0,0.0,0.0,1
unfair,125.49999999999997,0.0,0.3333333333333333,125.16666666666669,0.0,125.16666666666669,1
unfair,121.83333333333334,0.0,0.3333333333333333,121.50000000000001,0.0,121.50000000000001,1
unfair,138.83333333333337,0.0,0.3333333333333333,138.50000000000003,0.0,138.50000000000003,1
unfair,81.0,0.0,0.3333333333333333,80.66666666666669,0.0,80.66666666666669,1
proportional,2.8333333333333344,0.0,1.3333333333333346,1.5,0.0,1.5,1
proportional,4.833333333333332,0.0,1.3333333333333335,3.5,0.0,3.5,1
proportional,1.8333333333333321,0.0,0.3333333333333327,1.4999999999999991,0.0,1.4999999999999991,2
proportional,5.5,0.0,0.3333333333333327,5.166666666666666,0.0,5.166666666666666,2
proportional,3.5,0.5,0.3333333333333327,2.666666666666667,0.0,2.666666666666667,3
proportional,10.83333333333333,0.0,1.3333333333333346,9.499999999999996,0.0,9.499999999999996,3
proportional,8.5,0.0,1.3333333333333335,7.166666666666669,0.0,7.166666666666669,2
proportional,1.5,0.5,0.3333333333333333,0.6666666666666654,0.0,0.6666666666666654,3
proportional,1.0000000000000007,0.6666666666666667,0.3333333333333327,2.3665827156630354e-30,0.0,2.3665827156630354e-30,2
proportional,5.500000000000003,0.0,1.3333333333333346,4.16666666666667,0.0,4.16666666666667,3
proportional,2.8333333333333313,0.0,1.3333333333333321,1.5,0.0,1.5,3
proportional,2.5,0.0,0.33333333333333304,2.1666666666666674,0.0,2.1666666666666674,3
proportional,0.8333333333333334,0.0,0.3333333333333333,0.5,0.0,0.5,3
proportional,5.5,0.0,1.3333333333333346,4.166666666666666,0.0,4.166666666666666,3
shapley,1.4999999999999998,0.0,1.3333333333333335,0.1666666666666663,0.0,0.1666666666666663,2
shapley,0.5000000000000003,0.0,0.33333333333333287,0.16666666666666638,0.0,0.16666666666666638,3
shapley,0.5000000000000003,0.0,0.3333333333333329,0.16666666666666635,0.0,0.16666666666666635,3
shapley,0.5,0.0,0.33333333333333337,0.16666666666666635,0.0,0.16666666666666635,3
shapley,1.4999999999999998,0.0,1.3333333333333335,0.1666666666666663,0.0,0.1666666666666663,3
